Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
1,NORTHERN ARIZONA,92.0,Big Sky,◀▶(LW: 1),2021,Cross Country,Men,I,FINAL - November 21st
2,IOWA STATE,137.0,Big 12,▲6(LW: 8),2021,Cross Country,Men,I,FINAL - November 21st
3,OKLAHOMA STATE,186.0,Big 12,◀▶(LW: 3),2021,Cross Country,Men,I,FINAL - November 21st
4,ARKANSAS,195.0,SEC,◀▶(LW: 4),2021,Cross Country,Men,I,FINAL - November 21st
5,STANFORD,236.0,Pac-12,◀▶(LW: 5),2021,Cross Country,Men,I,FINAL - November 21st
6,TULSA,237.0,American,◀▶(LW: 6),2021,Cross Country,Men,I,FINAL - November 21st
7,BYU,246.0,WCC,◀▶(LW: 7),2021,Cross Country,Men,I,FINAL - November 21st
8,COLORADO,249.0,Pac-12,▲6(LW: 14),2021,Cross Country,Men,I,FINAL - November 21st
9,NOTRE DAME,290.0,ACC,▼7(LW: 2),2021,Cross Country,Men,I,FINAL - November 21st
10,WAKE FOREST,356.0,ACC,▲5(LW: 15),2021,Cross Country,Men,I,FINAL - November 21st
11,WISCONSIN,361.0,Big Ten,▲7(LW: 18),2021,Cross Country,Men,I,FINAL - November 21st
12,HARVARD,364.0,Ivy League,NR,2021,Cross Country,Men,I,FINAL - November 21st
13,WASHINGTON,373.0,Pac-12,▲12(LW: 25),2021,Cross Country,Men,I,FINAL - November 21st
14,TEXAS,393.0,Big 12,NR,2021,Cross Country,Men,I,FINAL - November 21st
15,OLE MISS,395.0,SEC,▼3(LW: 12),2021,Cross Country,Men,I,FINAL - November 21st
16,PORTLAND,430.0,WCC,▲5(LW: 21),2021,Cross Country,Men,I,FINAL - November 21st
17,AIR FORCE,453.0,Mountain West,▲2(LW: 19),2021,Cross Country,Men,I,FINAL - November 21st
18,NORTH CAROLINA,460.0,ACC,NR,2021,Cross Country,Men,I,FINAL - November 21st
19,SYRACUSE,485.0,ACC,▲11(LW: 30),2021,Cross Country,Men,I,FINAL - November 21st
20,FLORIDA STATE,517.0,ACC,NR,2021,Cross Country,Men,I,FINAL - November 21st
21,MINNESOTA,518.0,Big Ten,NR,2021,Cross Country,Men,I,FINAL - November 21st
22,GEORGETOWN,566.0,Big East,◀▶(LW: 22),2021,Cross Country,Men,I,FINAL - November 21st
23,PRINCETON,567.0,Ivy League,NR,2021,Cross Country,Men,I,FINAL - November 21st
24,SOUTHERN UTAH,573.0,Big Sky,▼15(LW: 9),2021,Cross Country,Men,I,FINAL - November 21st
25,MICHIGAN,588.0,Big Ten,NR,2021,Cross Country,Men,I,FINAL - November 21st
26,GONZAGA,612.0,WCC,▲1(LW: 27),2021,Cross Country,Men,I,FINAL - November 21st
27,ALABAMA,640.0,SEC,NR,2021,Cross Country,Men,I,FINAL - November 21st
28,BUTLER,643.0,Big East,▼15(LW: 13),2021,Cross Country,Men,I,FINAL - November 21st
29,OREGON,655.0,Pac-12,NR,2021,Cross Country,Men,I,FINAL - November 21st
30,MICHIGAN STATE,681.0,Big Ten,▼13(LW: 17),2021,Cross Country,Men,I,FINAL - November 21st
31,FURMAN,688.0,SoCon,▼7(LW: 24),2021,Cross Country,Men,I,FINAL - November 21st
1,NC STATE,84.0,ACC,▲1(LW: 2),2021,Cross Country,Women,I,FINAL - November 21st
2,BYU,122.0,WCC,▼1(LW: 1),2021,Cross Country,Women,I,FINAL - November 21st
3,NEW MEXICO,130.0,Mountain West,▲3(LW: 6),2021,Cross Country,Women,I,FINAL - November 21st
4,COLORADO,187.0,Pac-12,▲3(LW: 7),2021,Cross Country,Women,I,FINAL - November 21st
5,NOTRE DAME,215.0,ACC,NR,2021,Cross Country,Women,I,FINAL - November 21st
6,STANFORD,233.0,Pac-12,▼3(LW: 3),2021,Cross Country,Women,I,FINAL - November 21st
7,MINNESOTA,313.0,Big Ten,▼2(LW: 5),2021,Cross Country,Women,I,FINAL - November 21st
8,ARKANSAS,328.0,SEC,▲2(LW: 10),2021,Cross Country,Women,I,FINAL - November 21st
9,IOWA STATE,332.0,Big 12,▲16(LW: 25),2021,Cross Country,Women,I,FINAL - November 21st
10,OLE MISS,350.0,SEC,▲2(LW: 12),2021,Cross Country,Women,I,FINAL - November 21st
11,WASHINGTON,366.0,Pac-12,▲2(LW: 13),2021,Cross Country,Women,I,FINAL - November 21st
12,WISCONSIN,376.0,Big Ten,NR,2021,Cross Country,Women,I,FINAL - November 21st
13,OKLAHOMA STATE,404.0,Big 12,▲11(LW: 24),2021,Cross Country,Women,I,FINAL - November 21st
14,NORTH CAROLINA,405.0,ACC,◀▶(LW: 14),2021,Cross Country,Women,I,FINAL - November 21st
15,ALABAMA,428.0,SEC,▼7(LW: 8),2021,Cross Country,Women,I,FINAL - November 21st
16,MICHIGAN STATE,438.0,Big Ten,▼12(LW: 4),2021,Cross Country,Women,I,FINAL - November 21st
17,COLORADO STATE,455.0,Mountain West,▲6(LW: 23),2021,Cross Country,Women,I,FINAL - November 21st
18,GEORGETOWN,464.0,Big East,◀▶(LW: 18),2021,Cross Country,Women,I,FINAL - November 21st
19,FLORIDA STATE,468.0,ACC,▼4(LW: 15),2021,Cross Country,Women,I,FINAL - November 21st
20,UTAH,483.0,Pac-12,NR,2021,Cross Country,Women,I,FINAL - November 21st
21,WEST VIRGINIA,489.0,Big 12,▲8(LW: 29),2021,Cross Country,Women,I,FINAL - November 21st
22,MICHIGAN,500.0,Big Ten,▼5(LW: 17),2021,Cross Country,Women,I,FINAL - November 21st
23,NORTHERN ARIZONA,532.0,Big Sky,▼12(LW: 11),2021,Cross Country,Women,I,FINAL - November 21st
24,OREGON,534.0,Pac-12,NR,2021,Cross Country,Women,I,FINAL - November 21st
25,HARVARD,541.0,Ivy League,NR,2021,Cross Country,Women,I,FINAL - November 21st
26,PROVIDENCE,594.0,Big East,NR,2021,Cross Country,Women,I,FINAL - November 21st
27,VILLANOVA,605.0,Big East,NR,2021,Cross Country,Women,I,FINAL - November 21st
28,UTAH STATE,638.0,Mountain West,NR,2021,Cross Country,Women,I,FINAL - November 21st
29,BUTLER,660.0,Big East,NR,2021,Cross Country,Women,I,FINAL - November 21st
30,SYRACUSE,768.0,ACC,NR,2021,Cross Country,Women,I,FINAL - November 21st
31,RICE,811.0,Conference USA,NR,2021,Cross Country,Women,I,FINAL - November 21st
1,NORTHERN ARIZONA,60.0,Big Sky,▲1(LW: 2),2020,Cross Country,Men,I,FINAL - March 15th
2,NOTRE DAME,87.0,ACC,▲7(LW: 9),2020,Cross Country,Men,I,FINAL - March 15th
3,OKLAHOMA STATE,142.0,Big 12,▲3(LW: 6),2020,Cross Country,Men,I,FINAL - March 15th
4,ARKANSAS,181.0,SEC,▼1(LW: 3),2020,Cross Country,Men,I,FINAL - March 15th
5,STANFORD,194.0,Pac-12,▼1(LW: 4),2020,Cross Country,Men,I,FINAL - March 15th
6,TULSA,237.0,American,▼1(LW: 5),2020,Cross Country,Men,I,FINAL - March 15th
7,BYU,254.0,WCC,▼6(LW: 1),2020,Cross Country,Men,I,FINAL - March 15th
8,IOWA STATE,265.0,Big 12,▼1(LW: 7),2020,Cross Country,Men,I,FINAL - March 15th
9,SOUTHERN UTAH,270.0,Big Sky,▲17(LW: 26),2020,Cross Country,Men,I,FINAL - March 15th
10,IONA,311.0,Metro Atlantic,▲2(LW: 12),2020,Cross Country,Men,I,FINAL - March 15th
11,UTAH STATE,351.0,Mountain West,▲10(LW: 21),2020,Cross Country,Men,I,FINAL - March 15th
12,OLE MISS,373.0,SEC,▲3(LW: 15),2020,Cross Country,Men,I,FINAL - March 15th
13,BUTLER,379.0,Big East,▲9(LW: 22),2020,Cross Country,Men,I,FINAL - March 15th
14,COLORADO,398.0,Pac-12,▼6(LW: 8),2020,Cross Country,Men,I,FINAL - March 15th
15,WAKE FOREST,425.0,ACC,▲5(LW: 20),2020,Cross Country,Men,I,FINAL - March 15th
16,DUKE,462.0,ACC,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
17,MICHIGAN STATE,463.0,Big Ten,▲11(LW: 28),2020,Cross Country,Men,I,FINAL - March 15th
18,WISCONSIN,464.0,Big Ten,▼7(LW: 11),2020,Cross Country,Men,I,FINAL - March 15th
19,AIR FORCE,464.0,Mountain West,◀▶(LW: 19),2020,Cross Country,Men,I,FINAL - March 15th
20,VILLANOVA,468.0,Big East,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
21,PORTLAND,472.0,WCC,▼4(LW: 17),2020,Cross Country,Men,I,FINAL - March 15th
22,GEORGETOWN,528.0,Big East,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
23,NC STATE,547.0,ACC,▼10(LW: 13),2020,Cross Country,Men,I,FINAL - March 15th
24,FURMAN,560.0,SoCon,(LW: RV),2020,Cross Country,Men,I,FINAL - March 15th
25,WASHINGTON,568.0,Pac-12,▼15(LW: 10),2020,Cross Country,Men,I,FINAL - March 15th
26,INDIANA,572.0,Big Ten,▼9(LW: 17),2020,Cross Country,Men,I,FINAL - March 15th
27,GONZAGA,591.0,WCC,▼13(LW: 14),2020,Cross Country,Men,I,FINAL - March 15th
28,CHARLOTTE,634.0,Conference USA,▲2(LW: 30),2020,Cross Country,Men,I,FINAL - March 15th
29,PURDUE,741.0,Big Ten,▼5(LW: 24),2020,Cross Country,Men,I,FINAL - March 15th
30,SYRACUSE,761.0,ACC,▼5(LW: 25),2020,Cross Country,Men,I,FINAL - March 15th
1,BYU,96.0,WCC,▲1(LW: 2),2020,Cross Country,Women,I,FINAL - March 15th
2,NC STATE,161.0,ACC,▲3(LW: 5),2020,Cross Country,Women,I,FINAL - March 15th
3,STANFORD,207.0,Pac-12,▲1(LW: 4),2020,Cross Country,Women,I,FINAL - March 15th
4,MICHIGAN STATE,212.0,Big Ten,▲3(LW: 7),2020,Cross Country,Women,I,FINAL - March 15th
5,MINNESOTA,239.0,Big Ten,▲6(LW: 11),2020,Cross Country,Women,I,FINAL - March 15th
6,NEW MEXICO,274.0,Mountain West,▼3(LW: 3),2020,Cross Country,Women,I,FINAL - March 15th
7,COLORADO,279.0,Pac-12,▼1(LW: 6),2020,Cross Country,Women,I,FINAL - March 15th
8,ALABAMA,280.0,SEC,▲5(LW: 13),2020,Cross Country,Women,I,FINAL - March 15th
9,BOISE STATE,304.0,Mountain West,▲1(LW: 10),2020,Cross Country,Women,I,FINAL - March 15th
10,ARKANSAS,316.0,SEC,▼9(LW: 1),2020,Cross Country,Women,I,FINAL - March 15th
11,NORTHERN ARIZONA,318.0,Big Sky,▼2(LW: 9),2020,Cross Country,Women,I,FINAL - March 15th
12,OLE MISS,325.0,SEC,▲14(LW: 26),2020,Cross Country,Women,I,FINAL - March 15th
13,WASHINGTON,330.0,Pac-12,▼1(LW: 12),2020,Cross Country,Women,I,FINAL - March 15th
14,NORTH CAROLINA,354.0,ACC,(LW: RV),2020,Cross Country,Women,I,FINAL - March 15th
15,FLORIDA STATE,363.0,ACC,▲3(LW: 18),2020,Cross Country,Women,I,FINAL - March 15th
16,OREGON STATE,375.0,Pac-12,▲7(LW: 23),2020,Cross Country,Women,I,FINAL - March 15th
17,MICHIGAN,400.0,Big Ten,▼9(LW: 8),2020,Cross Country,Women,I,FINAL - March 15th
18,GEORGETOWN,494.0,Big East,▲3(LW: 21),2020,Cross Country,Women,I,FINAL - March 15th
19,INDIANA,494.0,Big Ten,▼2(LW: 17),2020,Cross Country,Women,I,FINAL - March 15th
20,GEORGIA TECH,508.0,ACC,▼5(LW: 15),2020,Cross Country,Women,I,FINAL - March 15th
21,ILLINOIS,521.0,Big Ten,▼5(LW: 16),2020,Cross Country,Women,I,FINAL - March 15th
22,PORTLAND,522.0,WCC,▼2(LW: 20),2020,Cross Country,Women,I,FINAL - March 15th
23,COLORADO STATE,532.0,Mountain West,(LW: RV),2020,Cross Country,Women,I,FINAL - March 15th
24,OKLAHOMA STATE,535.0,Big 12,▼2(LW: 22),2020,Cross Country,Women,I,FINAL - March 15th
25,IOWA STATE,580.0,Big 12,▼1(LW: 24),2020,Cross Country,Women,I,FINAL - March 15th
26,LIBERTY,611.0,ASUN,(LW: RV),2020,Cross Country,Women,I,FINAL - March 15th
27,DUKE,625.0,ACC,▼8(LW: 19),2020,Cross Country,Women,I,FINAL - March 15th
28,TULSA,650.0,American,(LW: RV),2020,Cross Country,Women,I,FINAL - March 15th
29,WEST VIRGINIA,668.0,Big 12,▼2(LW: 27),2020,Cross Country,Women,I,FINAL - March 15th
30,SAN FRANCISCO,688.0,WCC,▼3(LW: 27),2020,Cross Country,Women,I,FINAL - March 15th
31,FURMAN,761.0,SoCon,▼17(LW: 14),2020,Cross Country,Women,I,FINAL - March 15th
1,BYU,109.0,WCC,▲1(LW: 2),2019,Cross Country,Men,I,FINAL - November 23rd
2,NORTHERN ARIZONA,163.0,Big Sky,▼1(LW: 1),2019,Cross Country,Men,I,FINAL - November 23rd
3,COLORADO,164.0,Pac-12,▲1(LW: 4),2019,Cross Country,Men,I,FINAL - November 23rd
4,IOWA STATE,211.0,Big 12,▲3(LW: 7),2019,Cross Country,Men,I,FINAL - November 23rd
5,TULSA,243.0,American,▲25(LW: 30),2019,Cross Country,Men,I,FINAL - November 23rd
6,STANFORD,248.0,Pac-12,▼1(LW: 5),2019,Cross Country,Men,I,FINAL - November 23rd
7,MICHIGAN,250.0,Big Ten,▲12(LW: 19),2019,Cross Country,Men,I,FINAL - November 23rd
8,NOTRE DAME,269.0,ACC,▲6(LW: 14),2019,Cross Country,Men,I,FINAL - November 23rd
9,OREGON,307.0,Pac-12,▲6(LW: 15),2019,Cross Country,Men,I,FINAL - November 23rd
10,PORTLAND,314.0,WCC,▼7(LW: 3),2019,Cross Country,Men,I,FINAL - November 23rd
11,PURDUE,338.0,Big Ten,▲18(LW: 29),2019,Cross Country,Men,I,FINAL - November 23rd
12,IONA,348.0,Metro Atlantic,▲16(LW: 28),2019,Cross Country,Men,I,FINAL - November 23rd
13,INDIANA,367.0,Big Ten,▲5(LW: 18),2019,Cross Country,Men,I,FINAL - November 23rd
14,FURMAN,379.0,SoCon,NR,2019,Cross Country,Men,I,FINAL - November 23rd
15,HARVARD,384.0,Ivy League,NR,2019,Cross Country,Men,I,FINAL - November 23rd
16,UTAH STATE,428.0,Mountain West,NR,2019,Cross Country,Men,I,FINAL - November 23rd
17,VIRGINIA TECH,451.0,ACC,NR,2019,Cross Country,Men,I,FINAL - November 23rd
18,WISCONSIN,462.0,Big Ten,▼10(LW: 8),2019,Cross Country,Men,I,FINAL - November 23rd
19,WASHINGTON,466.0,Pac-12,▼13(LW: 6),2019,Cross Country,Men,I,FINAL - November 23rd
20,VIRGINIA,468.0,ACC,NR,2019,Cross Country,Men,I,FINAL - November 23rd
21,BOISE STATE,525.0,Mountain West,▼11(LW: 10),2019,Cross Country,Men,I,FINAL - November 23rd
22,OLE MISS,535.0,SEC,▼5(LW: 17),2019,Cross Country,Men,I,FINAL - November 23rd
23,VILLANOVA,556.0,Big East,◀▶(LW: 23),2019,Cross Country,Men,I,FINAL - November 23rd
24,ALABAMA,582.0,SEC,NR,2019,Cross Country,Men,I,FINAL - November 23rd
25,TEXAS,588.0,Big 12,▲2(LW: 27),2019,Cross Country,Men,I,FINAL - November 23rd
26,NC STATE,605.0,ACC,▼15(LW: 11),2019,Cross Country,Men,I,FINAL - November 23rd
27,SYRACUSE,610.0,ACC,▼1(LW: 26),2019,Cross Country,Men,I,FINAL - November 23rd
28,GEORGETOWN,676.0,Big East,NR,2019,Cross Country,Men,I,FINAL - November 23rd
29,FLORIDA STATE,694.0,ACC,▲2(LW: 31),2019,Cross Country,Men,I,FINAL - November 23rd
30,ARKANSAS,728.0,SEC,▼5(LW: 25),2019,Cross Country,Men,I,FINAL - November 23rd
31,MIDDLE TENNESSEE,865.0,Conference USA,NR,2019,Cross Country,Men,I,FINAL - November 23rd
1,ARKANSAS,96.0,SEC,▲13(LW: 14),2019,Cross Country,Women,I,FINAL - November 23rd
2,BYU,102.0,WCC,▲5(LW: 7),2019,Cross Country,Women,I,FINAL - November 23rd
3,STANFORD,123.0,Pac-12,▲2(LW: 5),2019,Cross Country,Women,I,FINAL - November 23rd
4,NEW MEXICO,168.0,Mountain West,▼2(LW: 2),2019,Cross Country,Women,I,FINAL - November 23rd
5,NC STATE,190.0,ACC,▲8(LW: 13),2019,Cross Country,Women,I,FINAL - November 23rd
6,MICHIGAN STATE,209.0,Big Ten,▲5(LW: 11),2019,Cross Country,Women,I,FINAL - November 23rd
7,WISCONSIN,235.0,Big Ten,▲3(LW: 10),2019,Cross Country,Women,I,FINAL - November 23rd
8,AIR FORCE,259.0,Mountain West,NR,2019,Cross Country,Women,I,FINAL - November 23rd
9,FURMAN,290.0,SoCon,▲14(LW: 23),2019,Cross Country,Women,I,FINAL - November 23rd
10,COLORADO,294.0,Pac-12,▼9(LW: 1),2019,Cross Country,Women,I,FINAL - November 23rd
11,WASHINGTON,296.0,Pac-12,▼2(LW: 9),2019,Cross Country,Women,I,FINAL - November 23rd
12,FLORIDA STATE,308.0,ACC,▲14(LW: 26),2019,Cross Country,Women,I,FINAL - November 23rd
13,MICHIGAN,395.0,Big Ten,▼9(LW: 4),2019,Cross Country,Women,I,FINAL - November 23rd
14,NORTHERN ARIZONA,406.0,Big Sky,NR,2019,Cross Country,Women,I,FINAL - November 23rd
15,NOTRE DAME,415.0,ACC,▼7(LW: 8),2019,Cross Country,Women,I,FINAL - November 23rd
16,UTAH,471.0,Pac-12,NR,2019,Cross Country,Women,I,FINAL - November 23rd
17,BOISE STATE,474.0,Mountain West,▼11(LW: 6),2019,Cross Country,Women,I,FINAL - November 23rd
18,PENN STATE,482.0,Big Ten,▲2(LW: 20),2019,Cross Country,Women,I,FINAL - November 23rd
19,INDIANA,509.0,Big Ten,▼2(LW: 17),2019,Cross Country,Women,I,FINAL - November 23rd
20,BOSTON COLLEGE,514.0,ACC,NR,2019,Cross Country,Women,I,FINAL - November 23rd
21,OLE MISS,541.0,SEC,▲1(LW: 22),2019,Cross Country,Women,I,FINAL - November 23rd
22,ILLINOIS,549.0,Big Ten,NR,2019,Cross Country,Women,I,FINAL - November 23rd
23,OHIO STATE,566.0,Big Ten,NR,2019,Cross Country,Women,I,FINAL - November 23rd
24,VILLANOVA,575.0,Big East,◀▶(LW: 24),2019,Cross Country,Women,I,FINAL - November 23rd
25,TULSA,584.0,American,NR,2019,Cross Country,Women,I,FINAL - November 23rd
26,OREGON,618.0,Pac-12,▼23(LW: 3),2019,Cross Country,Women,I,FINAL - November 23rd
27,COLUMBIA,624.0,Ivy League,▼9(LW: 18),2019,Cross Country,Women,I,FINAL - November 23rd
28,MINNESOTA,691.0,Big Ten,▲1(LW: 29),2019,Cross Country,Women,I,FINAL - November 23rd
29,CORNELL,693.0,Ivy League,NR,2019,Cross Country,Women,I,FINAL - November 23rd
30,TEXAS,713.0,Big 12,▲1(LW: 31),2019,Cross Country,Women,I,FINAL - November 23rd
31,HARVARD,787.0,Ivy League,NR,2019,Cross Country,Women,I,FINAL - November 23rd
1,NORTHERN ARIZONA,83.0,Big Sky,◀▶(LW: 1),2018,Cross Country,Men,I,FINAL - November 17th
2,BYU,116.0,WCC,▲1(LW: 3),2018,Cross Country,Men,I,FINAL - November 17th
3,PORTLAND,160.0,WCC,▼1(LW: 2),2018,Cross Country,Men,I,FINAL - November 17th
4,COLORADO,178.0,Pac-12,▲4(LW: 8),2018,Cross Country,Men,I,FINAL - November 17th
5,STANFORD,201.0,Pac-12,▼1(LW: 4),2018,Cross Country,Men,I,FINAL - November 17th
6,WASHINGTON,213.0,Pac-12,▲16(LW: 22),2018,Cross Country,Men,I,FINAL - November 17th
7,IOWA STATE,220.0,Big 12,◀▶(LW: 7),2018,Cross Country,Men,I,FINAL - November 17th
8,WISCONSIN,240.0,Big Ten,NR,2018,Cross Country,Men,I,FINAL - November 17th
9,COLORADO STATE,309.0,Mountain West,◀▶(LW: 9),2018,Cross Country,Men,I,FINAL - November 17th
10,BOISE STATE,342.0,Mountain West,▲9(LW: 19),2018,Cross Country,Men,I,FINAL - November 17th
11,NC STATE,342.0,ACC,▲6(LW: 17),2018,Cross Country,Men,I,FINAL - November 17th
12,WYOMING,371.0,Mountain West,NR,2018,Cross Country,Men,I,FINAL - November 17th
13,OKLAHOMA STATE,378.0,Big 12,▲16(LW: 29),2018,Cross Country,Men,I,FINAL - November 17th
14,NOTRE DAME,401.0,ACC,NR,2018,Cross Country,Men,I,FINAL - November 17th
15,OREGON,407.0,Pac-12,▼9(LW: 6),2018,Cross Country,Men,I,FINAL - November 17th
16,EASTERN KENTUCKY,430.0,OVC,NR,2018,Cross Country,Men,I,FINAL - November 17th
17,OLE MISS,431.0,SEC,▲1(LW: 18),2018,Cross Country,Men,I,FINAL - November 17th
18,INDIANA,469.0,Big Ten,NR,2018,Cross Country,Men,I,FINAL - November 17th
19,MICHIGAN,483.0,Big Ten,▼9(LW: 10),2018,Cross Country,Men,I,FINAL - November 17th
20,AIR FORCE,498.0,Mountain West,▼5(LW: 15),2018,Cross Country,Men,I,FINAL - November 17th
21,SOUTHERN UTAH,523.0,Big Sky,▼10(LW: 11),2018,Cross Country,Men,I,FINAL - November 17th
22,PRINCETON,557.0,Ivy League,▲6(LW: 28),2018,Cross Country,Men,I,FINAL - November 17th
23,VILLANOVA,577.0,Big East,NR,2018,Cross Country,Men,I,FINAL - November 17th
24,BRADLEY,580.0,Missouri Valley,NR,2018,Cross Country,Men,I,FINAL - November 17th
25,ARKANSAS,602.0,SEC,▼20(LW: 5),2018,Cross Country,Men,I,FINAL - November 17th
26,SYRACUSE,603.0,ACC,▼13(LW: 13),2018,Cross Country,Men,I,FINAL - November 17th
27,TEXAS,630.0,Big 12,▲3(LW: 30),2018,Cross Country,Men,I,FINAL - November 17th
28,IONA,634.0,Metro Atlantic,▼16(LW: 12),2018,Cross Country,Men,I,FINAL - November 17th
29,PURDUE,702.0,Big Ten,NR,2018,Cross Country,Men,I,FINAL - November 17th
30,TULSA,777.0,American,NR,2018,Cross Country,Men,I,FINAL - November 17th
31,FLORIDA STATE,845.0,ACC,NR,2018,Cross Country,Men,I,FINAL - November 17th
1,COLORADO,65.0,Pac-12,▲2(LW: 3),2018,Cross Country,Women,I,FINAL - November 17th
2,NEW MEXICO,103.0,Mountain West,▼1(LW: 1),2018,Cross Country,Women,I,FINAL - November 17th
3,OREGON,160.0,Pac-12,▲2(LW: 5),2018,Cross Country,Women,I,FINAL - November 17th
4,MICHIGAN,213.0,Big Ten,▲5(LW: 9),2018,Cross Country,Women,I,FINAL - November 17th
5,STANFORD,232.0,Pac-12,▼1(LW: 4),2018,Cross Country,Women,I,FINAL - November 17th
6,BOISE STATE,288.0,Mountain West,◀▶(LW: 6),2018,Cross Country,Women,I,FINAL - November 17th
7,BYU,310.0,WCC,▲4(LW: 11),2018,Cross Country,Women,I,FINAL - November 17th
8,NOTRE DAME,313.0,ACC,NR,2018,Cross Country,Women,I,FINAL - November 17th
9,WASHINGTON,321.0,Pac-12,▲12(LW: 21),2018,Cross Country,Women,I,FINAL - November 17th
10,WISCONSIN,325.0,Big Ten,◀▶(LW: 10),2018,Cross Country,Women,I,FINAL - November 17th
11,MICHIGAN STATE,341.0,Big Ten,▲4(LW: 15),2018,Cross Country,Women,I,FINAL - November 17th
12,PORTLAND,344.0,WCC,NR,2018,Cross Country,Women,I,FINAL - November 17th
