Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
24,MICHIGAN STATE,583.0,Big Ten,NR,2014,Cross Country,Men,I,FINAL - November 22nd
25,TULSA,584.0,American,▲2(LW: 27),2014,Cross Country,Men,I,FINAL - November 22nd
26,TEXAS,615.0,Big 12,▼12(LW: 14),2014,Cross Country,Men,I,FINAL - November 22nd
27,UTEP,629.0,Conference USA,NR,2014,Cross Country,Men,I,FINAL - November 22nd
28,ARKANSAS,647.0,SEC,▼16(LW: 12),2014,Cross Country,Men,I,FINAL - November 22nd
29,OLE MISS,685.0,SEC,NR,2014,Cross Country,Men,I,FINAL - November 22nd
30,FURMAN,747.0,SoCon,NR,2014,Cross Country,Men,I,FINAL - November 22nd
31,FLORIDA STATE,822.0,ACC,NR,2014,Cross Country,Men,I,FINAL - November 22nd
1,MICHIGAN STATE,85.0,Big Ten,▲5(LW: 6),2014,Cross Country,Women,I,FINAL - November 22nd
2,IOWA STATE,147.0,Big 12,▲11(LW: 13),2014,Cross Country,Women,I,FINAL - November 22nd
3,NEW MEXICO,188.0,Mountain West,▲7(LW: 10),2014,Cross Country,Women,I,FINAL - November 22nd
4,GEORGETOWN,189.0,Big East,▲1(LW: 5),2014,Cross Country,Women,I,FINAL - November 22nd
5,ARKANSAS,209.0,SEC,▲10(LW: 15),2014,Cross Country,Women,I,FINAL - November 22nd
6,OREGON,249.0,Pac-12,▲8(LW: 14),2014,Cross Country,Women,I,FINAL - November 22nd
7,COLORADO,267.0,Pac-12,◀▶(LW: 7),2014,Cross Country,Women,I,FINAL - November 22nd
8,WEST VIRGINIA,277.0,Big 12,▲16(LW: 24),2014,Cross Country,Women,I,FINAL - November 22nd
9,IONA,377.0,Metro Atlantic,NR,2014,Cross Country,Women,I,FINAL - November 22nd
10,WISCONSIN,382.0,Big Ten,▲11(LW: 21),2014,Cross Country,Women,I,FINAL - November 22nd
11,BOISE STATE,392.0,Mountain West,NR,2014,Cross Country,Women,I,FINAL - November 22nd
12,FLORIDA STATE,393.0,ACC,▼4(LW: 8),2014,Cross Country,Women,I,FINAL - November 22nd
13,PROVIDENCE,401.0,Big East,▼12(LW: 1),2014,Cross Country,Women,I,FINAL - November 22nd
14,STANFORD,415.0,Pac-12,▼3(LW: 11),2014,Cross Country,Women,I,FINAL - November 22nd
15,VIRGINIA,433.0,ACC,▼6(LW: 9),2014,Cross Country,Women,I,FINAL - November 22nd
16,NC STATE,456.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
17,WILLIAM & MARY,463.0,Colonial,▼5(LW: 12),2014,Cross Country,Women,I,FINAL - November 22nd
18,MICHIGAN,474.0,Big Ten,▼14(LW: 4),2014,Cross Country,Women,I,FINAL - November 22nd
19,BAYLOR,479.0,Big 12,NR,2014,Cross Country,Women,I,FINAL - November 22nd
20,DARTMOUTH,508.0,Ivy League,▼4(LW: 16),2014,Cross Country,Women,I,FINAL - November 22nd
21,BOSTON COLLEGE,514.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
22,NORTH CAROLINA,515.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
23,WASHINGTON,559.0,Pac-12,▼6(LW: 17),2014,Cross Country,Women,I,FINAL - November 22nd
24,SYRACUSE,559.0,ACC,▼2(LW: 22),2014,Cross Country,Women,I,FINAL - November 22nd
25,VIRGINIA TECH,574.0,ACC,NR,2014,Cross Country,Women,I,FINAL - November 22nd
26,OHIO STATE,577.0,Big Ten,NR,2014,Cross Country,Women,I,FINAL - November 22nd
27,UCLA,582.0,Pac-12,NR,2014,Cross Country,Women,I,FINAL - November 22nd
28,VANDERBILT,598.0,SEC,▼1(LW: 27),2014,Cross Country,Women,I,FINAL - November 22nd
29,NOTRE DAME,609.0,ACC,◀▶(LW: 29),2014,Cross Country,Women,I,FINAL - November 22nd
30,TOLEDO,613.0,Mid-American,NR,2014,Cross Country,Women,I,FINAL - November 22nd
31,MINNESOTA,663.0,Big Ten,▼11(LW: 20),2014,Cross Country,Women,I,FINAL - November 22nd
1,COLORADO,149.0,Pac-12,▲2(LW: 3),2013,Cross Country,Men,I,FINAL - November 23rd
2,NORTHERN ARIZONA,169.0,Big Sky,▲2(LW: 4),2013,Cross Country,Men,I,FINAL - November 23rd
3,OKLAHOMA STATE,230.0,Big 12,▼2(LW: 1),2013,Cross Country,Men,I,FINAL - November 23rd
4,BYU,267.0,WCC,▲2(LW: 6),2013,Cross Country,Men,I,FINAL - November 23rd
5,OREGON,274.0,Pac-12,▲15(LW: 20),2013,Cross Country,Men,I,FINAL - November 23rd
6,IONA,284.0,Metro Atlantic,▲23(LW: 29),2013,Cross Country,Men,I,FINAL - November 23rd
7,PORTLAND,293.0,WCC,▲5(LW: 12),2013,Cross Country,Men,I,FINAL - November 23rd
8,INDIANA,306.0,Big Ten,▲10(LW: 18),2013,Cross Country,Men,I,FINAL - November 23rd
9,WISCONSIN,326.0,Big Ten,▼7(LW: 2),2013,Cross Country,Men,I,FINAL - November 23rd
10,SYRACUSE,329.0,ACC,▲5(LW: 15),2013,Cross Country,Men,I,FINAL - November 23rd
11,NEW MEXICO,334.0,Mountain West,▲10(LW: 21),2013,Cross Country,Men,I,FINAL - November 23rd
12,ARKANSAS,340.0,SEC,▼2(LW: 10),2013,Cross Country,Men,I,FINAL - November 23rd
13,VIRGINIA,370.0,ACC,▲1(LW: 14),2013,Cross Country,Men,I,FINAL - November 23rd
14,TEXAS,376.0,Big 12,▼5(LW: 9),2013,Cross Country,Men,I,FINAL - November 23rd
15,EASTERN KENTUCKY,380.0,OVC,▲9(LW: 24),2013,Cross Country,Men,I,FINAL - November 23rd
16,PROVIDENCE,396.0,Big East,NR,2013,Cross Country,Men,I,FINAL - November 23rd
17,NORTH CAROLINA,403.0,ACC,NR,2013,Cross Country,Men,I,FINAL - November 23rd
18,VILLANOVA,415.0,Big East,▲9(LW: 27),2013,Cross Country,Men,I,FINAL - November 23rd
19,STANFORD,417.0,Pac-12,▼3(LW: 16),2013,Cross Country,Men,I,FINAL - November 23rd
20,AIR FORCE,419.0,Mountain West,NR,2013,Cross Country,Men,I,FINAL - November 23rd
21,MICHIGAN,433.0,Big Ten,▲2(LW: 23),2013,Cross Country,Men,I,FINAL - November 23rd
22,PRINCETON,469.0,Ivy League,▼11(LW: 11),2013,Cross Country,Men,I,FINAL - November 23rd
23,NOTRE DAME,484.0,ACC,▲5(LW: 28),2013,Cross Country,Men,I,FINAL - November 23rd
24,DARTMOUTH,551.0,Ivy League,NR,2013,Cross Country,Men,I,FINAL - November 23rd
25,COLUMBIA,580.0,Ivy League,▼8(LW: 17),2013,Cross Country,Men,I,FINAL - November 23rd
26,COLORADO STATE,606.0,Mountain West,NR,2013,Cross Country,Men,I,FINAL - November 23rd
27,TULSA,628.0,Conference USA,▼20(LW: 7),2013,Cross Country,Men,I,FINAL - November 23rd
28,NC STATE,630.0,ACC,▼2(LW: 26),2013,Cross Country,Men,I,FINAL - November 23rd
29,FLORIDA,654.0,SEC,NR,2013,Cross Country,Men,I,FINAL - November 23rd
30,HARVARD,678.0,Ivy League,NR,2013,Cross Country,Men,I,FINAL - November 23rd
31,GEORGIA,690.0,SEC,▼12(LW: 19),2013,Cross Country,Men,I,FINAL - November 23rd
1,PROVIDENCE,141.0,Big East,▲1(LW: 2),2013,Cross Country,Women,I,FINAL - November 23rd
2,ARIZONA,197.0,Pac-12,▲4(LW: 6),2013,Cross Country,Women,I,FINAL - November 23rd
3,BUTLER,200.0,Big East,▲26(LW: 29),2013,Cross Country,Women,I,FINAL - November 23rd
4,MICHIGAN,215.0,Big Ten,▲1(LW: 5),2013,Cross Country,Women,I,FINAL - November 23rd
5,GEORGETOWN,226.0,Big East,▲7(LW: 12),2013,Cross Country,Women,I,FINAL - November 23rd
6,MICHIGAN STATE,236.0,Big Ten,▲10(LW: 16),2013,Cross Country,Women,I,FINAL - November 23rd
7,COLORADO,265.0,Pac-12,▲17(LW: 24),2013,Cross Country,Women,I,FINAL - November 23rd
8,FLORIDA STATE,278.0,ACC,▼4(LW: 4),2013,Cross Country,Women,I,FINAL - November 23rd
9,VIRGINIA,283.0,ACC,NR,2013,Cross Country,Women,I,FINAL - November 23rd
10,NEW MEXICO,301.0,Mountain West,◀▶(LW: 10),2013,Cross Country,Women,I,FINAL - November 23rd
11,STANFORD,322.0,Pac-12,▼8(LW: 3),2013,Cross Country,Women,I,FINAL - November 23rd
12,WILLIAM & MARY,326.0,Colonial,▲9(LW: 21),2013,Cross Country,Women,I,FINAL - November 23rd
13,IOWA STATE,333.0,Big 12,▼2(LW: 11),2013,Cross Country,Women,I,FINAL - November 23rd
14,OREGON,340.0,Pac-12,▼13(LW: 1),2013,Cross Country,Women,I,FINAL - November 23rd
15,ARKANSAS,340.0,SEC,▲3(LW: 18),2013,Cross Country,Women,I,FINAL - November 23rd
16,DARTMOUTH,369.0,Ivy League,NR,2013,Cross Country,Women,I,FINAL - November 23rd
17,WASHINGTON,376.0,Pac-12,▼8(LW: 9),2013,Cross Country,Women,I,FINAL - November 23rd
18,SAN FRANCISCO,385.0,WCC,NR,2013,Cross Country,Women,I,FINAL - November 23rd
19,VILLANOVA,397.0,Big East,▲1(LW: 20),2013,Cross Country,Women,I,FINAL - November 23rd
20,MINNESOTA,406.0,Big Ten,▲2(LW: 22),2013,Cross Country,Women,I,FINAL - November 23rd
21,WISCONSIN,489.0,Big Ten,NR,2013,Cross Country,Women,I,FINAL - November 23rd
22,SYRACUSE,516.0,ACC,NR,2013,Cross Country,Women,I,FINAL - November 23rd
23,CORNELL,569.0,Ivy League,▼10(LW: 13),2013,Cross Country,Women,I,FINAL - November 23rd
24,WEST VIRGINIA,621.0,Big 12,NR,2013,Cross Country,Women,I,FINAL - November 23rd
25,PENN STATE,640.0,Big Ten,▼11(LW: 14),2013,Cross Country,Women,I,FINAL - November 23rd
26,INDIANA,673.0,Big Ten,NR,2013,Cross Country,Women,I,FINAL - November 23rd
27,VANDERBILT,676.0,SEC,◀▶(LW: 27),2013,Cross Country,Women,I,FINAL - November 23rd
28,BYU,687.0,WCC,NR,2013,Cross Country,Women,I,FINAL - November 23rd
29,NOTRE DAME,688.0,ACC,▼14(LW: 15),2013,Cross Country,Women,I,FINAL - November 23rd
30,PRINCETON,704.0,Ivy League,NR,2013,Cross Country,Women,I,FINAL - November 23rd
31,SMU,790.0,American,NR,2013,Cross Country,Women,I,FINAL - November 23rd
1,OKLAHOMA STATE,72.0,Big 12,▲1(LW: 2),2012,Cross Country,Men,I,FINAL - November 17th
2,WISCONSIN,135.0,Big Ten,▼1(LW: 1),2012,Cross Country,Men,I,FINAL - November 17th
3,COLORADO,158.0,Pac-12,◀▶(LW: 3),2012,Cross Country,Men,I,FINAL - November 17th
4,NORTHERN ARIZONA,191.0,Big Sky,▲10(LW: 14),2012,Cross Country,Men,I,FINAL - November 17th
5,FLORIDA STATE,238.0,ACC,▲7(LW: 12),2012,Cross Country,Men,I,FINAL - November 17th
6,BYU,245.0,WCC,▼2(LW: 4),2012,Cross Country,Men,I,FINAL - November 17th
7,TULSA,247.0,Conference USA,▲18(LW: 25),2012,Cross Country,Men,I,FINAL - November 17th
8,OKLAHOMA,262.0,Big 12,▼2(LW: 6),2012,Cross Country,Men,I,FINAL - November 17th
9,TEXAS,291.0,Big 12,▲2(LW: 11),2012,Cross Country,Men,I,FINAL - November 17th
10,ARKANSAS,327.0,SEC,NR,2012,Cross Country,Men,I,FINAL - November 17th
11,PRINCETON,358.0,Ivy League,▲8(LW: 19),2012,Cross Country,Men,I,FINAL - November 17th
12,PORTLAND,365.0,WCC,▼4(LW: 8),2012,Cross Country,Men,I,FINAL - November 17th
13,UCLA,376.0,Pac-12,NR,2012,Cross Country,Men,I,FINAL - November 17th
14,VIRGINIA,382.0,ACC,NR,2012,Cross Country,Men,I,FINAL - November 17th
15,SYRACUSE,405.0,Big East (1st Ed.),◀▶(LW: 15),2012,Cross Country,Men,I,FINAL - November 17th
16,STANFORD,408.0,Pac-12,▼11(LW: 5),2012,Cross Country,Men,I,FINAL - November 17th
17,COLUMBIA,439.0,Ivy League,▲10(LW: 27),2012,Cross Country,Men,I,FINAL - November 17th
18,INDIANA,456.0,Big Ten,▼11(LW: 7),2012,Cross Country,Men,I,FINAL - November 17th
19,GEORGIA,466.0,SEC,▲10(LW: 29),2012,Cross Country,Men,I,FINAL - November 17th
20,OREGON,472.0,Pac-12,NR,2012,Cross Country,Men,I,FINAL - November 17th
21,NEW MEXICO,473.0,Mountain West,▲10(LW: 31),2012,Cross Country,Men,I,FINAL - November 17th
22,VIRGINIA TECH,516.0,ACC,NR,2012,Cross Country,Men,I,FINAL - November 17th
23,MICHIGAN,518.0,Big Ten,▼3(LW: 20),2012,Cross Country,Men,I,FINAL - November 17th
24,EASTERN KENTUCKY,522.0,OVC,▲2(LW: 26),2012,Cross Country,Men,I,FINAL - November 17th
25,GEORGETOWN,534.0,Big East (1st Ed.),▼8(LW: 17),2012,Cross Country,Men,I,FINAL - November 17th
26,NC STATE,550.0,ACC,▼16(LW: 10),2012,Cross Country,Men,I,FINAL - November 17th
27,VILLANOVA,588.0,Big East (1st Ed.),▼14(LW: 13),2012,Cross Country,Men,I,FINAL - November 17th
28,NOTRE DAME,591.0,Big East (1st Ed.),▼4(LW: 24),2012,Cross Country,Men,I,FINAL - November 17th
29,IONA,626.0,Metro Atlantic,▼20(LW: 9),2012,Cross Country,Men,I,FINAL - November 17th
30,DUKE,725.0,ACC,NR,2012,Cross Country,Men,I,FINAL - November 17th
31,MICHIGAN STATE,755.0,Big Ten,NR,2012,Cross Country,Men,I,FINAL - November 17th
1,OREGON,114.0,Pac-12,▲4(LW: 5),2012,Cross Country,Women,I,FINAL - November 17th
2,PROVIDENCE,183.0,Big East (1st Ed.),NR,2012,Cross Country,Women,I,FINAL - November 17th
3,STANFORD,198.0,Pac-12,▲7(LW: 10),2012,Cross Country,Women,I,FINAL - November 17th
4,FLORIDA STATE,202.0,ACC,◀▶(LW: 4),2012,Cross Country,Women,I,FINAL - November 17th
5,MICHIGAN,247.0,Big Ten,▲10(LW: 15),2012,Cross Country,Women,I,FINAL - November 17th
6,ARIZONA,263.0,Pac-12,▲13(LW: 19),2012,Cross Country,Women,I,FINAL - November 17th
7,DUKE,300.0,ACC,NR,2012,Cross Country,Women,I,FINAL - November 17th
8,CONNECTICUT,304.0,Big East (1st Ed.),NR,2012,Cross Country,Women,I,FINAL - November 17th
9,WASHINGTON,334.0,Pac-12,▼7(LW: 2),2012,Cross Country,Women,I,FINAL - November 17th
10,NEW MEXICO,341.0,Mountain West,▼1(LW: 9),2012,Cross Country,Women,I,FINAL - November 17th
11,IOWA STATE,350.0,Big 12,▼4(LW: 7),2012,Cross Country,Women,I,FINAL - November 17th
12,GEORGETOWN,381.0,Big East (1st Ed.),▼11(LW: 1),2012,Cross Country,Women,I,FINAL - November 17th
13,CORNELL,385.0,Ivy League,NR,2012,Cross Country,Women,I,FINAL - November 17th
14,PENN STATE,387.0,Big Ten,▼1(LW: 13),2012,Cross Country,Women,I,FINAL - November 17th
15,NOTRE DAME,394.0,Big East (1st Ed.),▲7(LW: 22),2012,Cross Country,Women,I,FINAL - November 17th
16,MICHIGAN STATE,422.0,Big Ten,◀▶(LW: 16),2012,Cross Country,Women,I,FINAL - November 17th
17,WEBER STATE,428.0,Big Sky,▲12(LW: 29),2012,Cross Country,Women,I,FINAL - November 17th
18,ARKANSAS,449.0,SEC,▼4(LW: 14),2012,Cross Country,Women,I,FINAL - November 17th
19,BOSTON COLLEGE,462.0,ACC,▼7(LW: 12),2012,Cross Country,Women,I,FINAL - November 17th
20,VILLANOVA,475.0,Big East (1st Ed.),▼17(LW: 3),2012,Cross Country,Women,I,FINAL - November 17th
21,WILLIAM & MARY,481.0,Colonial,NR,2012,Cross Country,Women,I,FINAL - November 17th
22,MINNESOTA,500.0,Big Ten,▲5(LW: 27),2012,Cross Country,Women,I,FINAL - November 17th
23,FLORIDA,518.0,SEC,NR,2012,Cross Country,Women,I,FINAL - November 17th
24,COLORADO,519.0,Pac-12,▼13(LW: 11),2012,Cross Country,Women,I,FINAL - November 17th
25,TEXAS,526.0,Big 12,▲1(LW: 26),2012,Cross Country,Women,I,FINAL - November 17th
26,OKLAHOMA STATE,565.0,Big 12,▲4(LW: 30),2012,Cross Country,Women,I,FINAL - November 17th
27,VANDERBILT,611.0,SEC,▼21(LW: 6),2012,Cross Country,Women,I,FINAL - November 17th
28,TOLEDO,613.0,Mid-American,▼7(LW: 21),2012,Cross Country,Women,I,FINAL - November 17th
29,BUTLER,636.0,Atlantic 10,NR,2012,Cross Country,Women,I,FINAL - November 17th
30,GEORGIA,642.0,SEC,NR,2012,Cross Country,Women,I,FINAL - November 17th
31,HARVARD,676.0,Ivy League,NR,2012,Cross Country,Women,I,FINAL - November 17th
1,WISCONSIN,97.0,Big Ten,▲2(LW: 3),2011,Cross Country,Men,I,FINAL - November 21st
2,OKLAHOMA STATE,139.0,Big 12,▼1(LW: 1),2011,Cross Country,Men,I,FINAL - November 21st
3,COLORADO,144.0,Pac-12,▲12(LW: 15),2011,Cross Country,Men,I,FINAL - November 21st
4,BYU,203.0,WCC,▲14(LW: 18),2011,Cross Country,Men,I,FINAL - November 21st
5,STANFORD,207.0,Pac-12,▼1(LW: 4),2011,Cross Country,Men,I,FINAL - November 21st
6,OKLAHOMA,213.0,Big 12,▼1(LW: 5),2011,Cross Country,Men,I,FINAL - November 21st
7,INDIANA,257.0,Big Ten,◀▶(LW: 7),2011,Cross Country,Men,I,FINAL - November 21st
8,PORTLAND,259.0,WCC,▲5(LW: 13),2011,Cross Country,Men,I,FINAL - November 21st
9,IONA,265.0,Metro Atlantic,▼1(LW: 8),2011,Cross Country,Men,I,FINAL - November 21st
10,NC STATE,282.0,ACC,▲10(LW: 20),2011,Cross Country,Men,I,FINAL - November 21st
11,TEXAS,341.0,Big 12,▲15(LW: 26),2011,Cross Country,Men,I,FINAL - November 21st
12,FLORIDA STATE,348.0,ACC,▼10(LW: 2),2011,Cross Country,Men,I,FINAL - November 21st
13,VILLANOVA,352.0,Big East (1st Ed.),▲10(LW: 23),2011,Cross Country,Men,I,FINAL - November 21st
14,NORTHERN ARIZONA,374.0,Big Sky,▼5(LW: 9),2011,Cross Country,Men,I,FINAL - November 21st
15,SYRACUSE,395.0,Big East (1st Ed.),▼1(LW: 14),2011,Cross Country,Men,I,FINAL - November 21st
16,MINNESOTA,441.0,Big Ten,▲11(LW: 27),2011,Cross Country,Men,I,FINAL - November 21st
17,GEORGETOWN,468.0,Big East (1st Ed.),▲12(LW: 29),2011,Cross Country,Men,I,FINAL - November 21st
18,TEXAS A&M,471.0,Big 12,NR,2011,Cross Country,Men,I,FINAL - November 21st
19,PRINCETON,474.0,Ivy League,▼7(LW: 12),2011,Cross Country,Men,I,FINAL - November 21st
20,MICHIGAN,511.0,Big Ten,NR,2011,Cross Country,Men,I,FINAL - November 21st
21,WASHINGTON STATE,512.0,Pac-12,NR,2011,Cross Country,Men,I,FINAL - November 21st
22,PROVIDENCE,530.0,Big East (1st Ed.),◀▶(LW: 22),2011,Cross Country,Men,I,FINAL - November 21st
23,OHIO STATE,538.0,Big Ten,NR,2011,Cross Country,Men,I,FINAL - November 21st
24,NOTRE DAME,575.0,Big East (1st Ed.),▲1(LW: 25),2011,Cross Country,Men,I,FINAL - November 21st
25,TULSA,580.0,Conference USA,NR,2011,Cross Country,Men,I,FINAL - November 21st
26,EASTERN KENTUCKY,589.0,OVC,NR,2011,Cross Country,Men,I,FINAL - November 21st
27,COLUMBIA,591.0,Ivy League,NR,2011,Cross Country,Men,I,FINAL - November 21st
28,CAL POLY,680.0,Big West,NR,2011,Cross Country,Men,I,FINAL - November 21st
29,GEORGIA,770.0,SEC,NR,2011,Cross Country,Men,I,FINAL - November 21st
30,FLORIDA,780.0,SEC,NR,2011,Cross Country,Men,I,FINAL - November 21st
31,NEW MEXICO,885.0,Mountain West,▼15(LW: 16),2011,Cross Country,Men,I,FINAL - November 21st
1,GEORGETOWN,162.0,Big East (1st Ed.),▲3(LW: 4),2011,Cross Country,Women,I,FINAL - November 21st
2,WASHINGTON,170.0,Pac-12,▲14(LW: 16),2011,Cross Country,Women,I,FINAL - November 21st
3,VILLANOVA,181.0,Big East (1st Ed.),▼2(LW: 1),2011,Cross Country,Women,I,FINAL - November 21st
4,FLORIDA STATE,189.0,ACC,▼2(LW: 2),2011,Cross Country,Women,I,FINAL - November 21st
5,OREGON,281.0,Pac-12,▲7(LW: 12),2011,Cross Country,Women,I,FINAL - November 21st
6,VANDERBILT,282.0,SEC,NR,2011,Cross Country,Women,I,FINAL - November 21st
7,IOWA STATE,290.0,Big 12,▲1(LW: 8),2011,Cross Country,Women,I,FINAL - November 21st
8,WEST VIRGINIA,297.0,Big East (1st Ed.),NR,2011,Cross Country,Women,I,FINAL - November 21st
9,NEW MEXICO,322.0,Mountain West,▼4(LW: 5),2011,Cross Country,Women,I,FINAL - November 21st
10,STANFORD,332.0,Pac-12,▲3(LW: 13),2011,Cross Country,Women,I,FINAL - November 21st
11,COLORADO,335.0,Pac-12,▼5(LW: 6),2011,Cross Country,Women,I,FINAL - November 21st
12,BOSTON COLLEGE,347.0,ACC,▲7(LW: 19),2011,Cross Country,Women,I,FINAL - November 21st
13,PENN STATE,368.0,Big Ten,▲13(LW: 26),2011,Cross Country,Women,I,FINAL - November 21st
14,ARKANSAS,375.0,SEC,NR,2011,Cross Country,Women,I,FINAL - November 21st
15,MICHIGAN,383.0,Big Ten,▲7(LW: 22),2011,Cross Country,Women,I,FINAL - November 21st
16,MICHIGAN STATE,386.0,Big Ten,▲7(LW: 23),2011,Cross Country,Women,I,FINAL - November 21st
17,SYRACUSE,401.0,Big East (1st Ed.),▼7(LW: 10),2011,Cross Country,Women,I,FINAL - November 21st
18,CALIFORNIA,433.0,Pac-12,NR,2011,Cross Country,Women,I,FINAL - November 21st
19,ARIZONA,447.0,Pac-12,▼8(LW: 11),2011,Cross Country,Women,I,FINAL - November 21st
20,VIRGINIA,466.0,ACC,▲1(LW: 21),2011,Cross Country,Women,I,FINAL - November 21st
21,TOLEDO,483.0,Mid-American,▲7(LW: 28),2011,Cross Country,Women,I,FINAL - November 21st
22,NOTRE DAME,512.0,Big East (1st Ed.),NR,2011,Cross Country,Women,I,FINAL - November 21st
23,NC STATE,518.0,ACC,▲1(LW: 24),2011,Cross Country,Women,I,FINAL - November 21st
24,WISCONSIN,529.0,Big Ten,NR,2011,Cross Country,Women,I,FINAL - November 21st
25,SAN FRANCISCO,531.0,WCC,NR,2011,Cross Country,Women,I,FINAL - November 21st
26,TEXAS,559.0,Big 12,▼6(LW: 20),2011,Cross Country,Women,I,FINAL - November 21st
27,MINNESOTA,577.0,Big Ten,◀▶(LW: 27),2011,Cross Country,Women,I,FINAL - November 21st
28,BYU,636.0,WCC,NR,2011,Cross Country,Women,I,FINAL - November 21st
29,WEBER STATE,647.0,Big Sky,NR,2011,Cross Country,Women,I,FINAL - November 21st
30,OKLAHOMA STATE,701.0,Big 12,▼13(LW: 17),2011,Cross Country,Women,I,FINAL - November 21st
31,ARIZONA STATE,752.0,Pac-12,NR,2011,Cross Country,Women,I,FINAL - November 21st
